dataset_id,pair_id,deployment_config_name,block_size_bytes,seed,metric,best_policy,best_value
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,16384,1,transfer_size_bytes,whole_file_bsdiff,7983059.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,16384,1,peak_storage_bytes,blockwise_bsdiff,3544601.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,16384,1,peak_ram_bytes,copy_only,16384.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,16384,1,install_time_s,full_replacement,0.701872
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,16384,1,flash_write_bytes,full_replacement,3509360.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,16384,1,runtime_s,full_replacement,0.060508
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,65536,1,transfer_size_bytes,whole_file_bsdiff,7983059.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,65536,1,peak_storage_bytes,copy_only,3640280.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,65536,1,peak_ram_bytes,copy_only,65536.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,65536,1,install_time_s,full_replacement,0.701872
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,65536,1,flash_write_bytes,full_replacement,3509360.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,constrained,65536,1,runtime_s,copy_only,0.058881
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,realistic,16384,1,transfer_size_bytes,whole_file_bsdiff,7983059.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,realistic,16384,1,peak_storage_bytes,copy_delta,11738545.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,realistic,16384,1,peak_ram_bytes,copy_only,16384.0
