dataset_id,pair_id,domain,scenario,artifact_type,old_path,new_path,old_sha256,new_sha256,old_size_bytes,new_size_bytes,block_size_bytes,compressed_uncompressed,compression_status_source,deployment_config_name,interruption_setting_name,seed,policy,strategy,dominant_operation,successfully_updates_a_to_b,completed,replay_validity,replay_errors,rollback_ready,budget_violation_count,transfer_size_bytes,network_bytes,peak_storage_bytes,peak_ram_bytes,install_time_s,total_time_s,flash_write_bytes,runtime_s,encoding_op_count,interruption_scenario_count,checkpoint_resume_count,rollback_success_count,failed_recovery_count,final_replay_validity_all,max_recovery_cost_operations,max_extra_network_bytes,max_extra_flash_writes,operation_counts_raw,op_copy_count,op_delta_count,op_raw_insert_count,op_backup_count,op_checkpoint_count,op_verify_count,op_rollback_count,ab_enabled,ab_update_valid,ab_rollback_ready,slot_storage_bytes,slot_storage_violation,activation_success,boot_health_success,rollback_after_failed_boot,rollback_success,reboot_count,downtime_seconds,slot_switch_count
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_025,1,backup_safe_copy_delta,"delta:1, raw_insert:214, backup:213",raw_insert,True,True,True,,True,0,8254525,8254525,7031769,48593,1.41541,17.92446,6996528,2.512178,428,1,1,1,0,True,328,115744,114688,"{'backup': 213, 'delta': 1, 'raw_insert': 214}",0,1,214,213,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_050,1,backup_safe_copy_delta,"delta:1, raw_insert:214, backup:213",raw_insert,True,True,True,,True,0,8254525,8254525,7031769,48593,1.41541,17.92446,6996528,2.481771,428,1,1,1,0,True,218,77090,65536,"{'backup': 213, 'delta': 1, 'raw_insert': 214}",0,1,214,213,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_075,1,backup_safe_copy_delta,"delta:1, raw_insert:214, backup:213",raw_insert,True,True,True,,True,0,8254525,8254525,7031769,48593,1.41541,17.92446,6996528,2.484492,428,1,1,1,0,True,108,120,16384,"{'backup': 213, 'delta': 1, 'raw_insert': 214}",0,1,214,213,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_025,1,blockwise_bsdiff,"delta:213, raw_insert:2",delta,True,True,True,,False,0,8499379,8499379,3544601,49730,4.246831,21.245589,3509360,1.380628,215,1,1,0,0,True,165,158403,65536,"{'delta': 213, 'raw_insert': 2}",0,213,2,0,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_050,1,blockwise_bsdiff,"delta:213, raw_insert:2",delta,True,True,True,,False,0,8499379,8499379,3544601,49730,4.246831,21.245589,3509360,1.376162,215,1,1,0,0,True,115,317840,131072,"{'delta': 213, 'raw_insert': 2}",0,213,2,0,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_075,1,blockwise_bsdiff,"delta:213, raw_insert:2",delta,True,True,True,,False,0,8499379,8499379,3544601,49730,4.246831,21.245589,3509360,1.386079,215,1,1,0,0,True,55,79421,32768,"{'delta': 213, 'raw_insert': 2}",0,213,2,0,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_025,1,copy_delta,"delta:1, raw_insert:214",raw_insert,True,True,True,,False,0,8229185,8229185,3544601,48593,0.717976,17.176347,3509360,1.321066,215,1,1,0,0,True,165,153696,65536,"{'delta': 1, 'raw_insert': 214}",0,1,214,0,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_050,1,copy_delta,"delta:1, raw_insert:214",raw_insert,True,True,True,,False,0,8229185,8229185,3544601,48593,0.717976,17.176347,3509360,1.279218,215,1,1,0,0,True,115,307400,131072,"{'delta': 1, 'raw_insert': 214}",0,1,214,0,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_075,1,copy_delta,"delta:1, raw_insert:214",raw_insert,True,True,True,,False,0,8229185,8229185,3544601,48593,0.717976,17.176347,3509360,1.277348,215,1,1,0,0,True,55,76850,32768,"{'delta': 1, 'raw_insert': 214}",0,1,214,0,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
smartota-alpine-expanded,alpine_3_20_to_3_21_minirootfs_x86_64,os_rootfs,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,compressed_rootfs_tar,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.20.0-x86_64.tar.gz,/home/arpan/OTA/.cursor-tutor/ota_environment/data/raw/alpine/alpine-minirootfs-3.21.0-x86_64.tar.gz,602efda518516787c716320bd46a3f50e83a74bb749e55483c2f4a9c9f8b9a38,55ea3e5a7c2c35e6268c5dcbb8e45a9cd5b0e372e7b4e798499a526834f7ed90,3487168,3509360,16384,compressed,release_artifact_tar_gz_suffix,constrained,interrupt_025,1,copy_only,raw_insert:215,raw_insert,True,True,True,,False,0,8230465,8230465,3544601,16384,0.701872,17.162802,3509360,0.106979,215,1,1,0,0,True,165,153696,65536,{'raw_insert': 215},0,0,215,0,0,0,0,True,True,True,3509360.0,False,True,True,False,False,1.0,45.0,1.0
