dataset_id,domain,policy,runs,total_operation_count,copy_count,copy_pct,delta_count,delta_pct,raw_insert_count,raw_insert_pct,backup_count,backup_pct,checkpoint_count,checkpoint_pct,verify_count,verify_pct,rollback_count,rollback_pct,other_count,other_pct,raw_op_backup,raw_op_delta,raw_op_raw_insert,raw_op_truncate,raw_op_keep,raw_op_copy
smartota-alpine-expanded,os_rootfs,backup_safe_copy_delta,24,6432,0,0.0,36,0.005597014925373134,3192,0.4962686567164179,3204,0.498134328358209,0,0.0,0,0.0,0,0.0,0,0.0,3204.0,36.0,3192.0,,,
smartota-alpine-expanded,os_rootfs,blockwise_bsdiff,24,3228,0,0.0,3204,0.9925650557620818,24,0.007434944237918215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,3204.0,24.0,,,
smartota-alpine-expanded,os_rootfs,copy_delta,24,3228,0,0.0,36,0.011152416356877323,3192,0.9888475836431226,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,36.0,3192.0,,,
smartota-alpine-expanded,os_rootfs,copy_only,24,3228,0,0.0,0,0.0,3228,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,3228.0,,,
smartota-alpine-expanded,os_rootfs,deployment_aware_greedy,24,5454,0,0.0,21,0.0038503850385038503,3207,0.588008800880088,2226,0.4081408140814081,0,0.0,0,0.0,0,0.0,0,0.0,2226.0,21.0,3207.0,,,
smartota-alpine-expanded,os_rootfs,full_replacement,24,48,0,0.0,0,0.0,24,0.5,0,0.0,0,0.0,0,0.0,0,0.0,24,0.5,,,24.0,24.0,,
smartota-alpine-expanded,os_rootfs,rsync_rolling_hash,24,3228,0,0.0,0,0.0,3228,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,3228.0,,,
smartota-alpine-expanded,os_rootfs,whole_file_bsdiff,24,48,0,0.0,24,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.5,,24.0,,24.0,,
smartota-alpine-rootfs,os_rootfs,backup_safe_copy_delta,24,14856,24,0.0016155088852988692,7308,0.49192245557350567,132,0.008885298869143781,7392,0.4975767366720517,0,0.0,0,0.0,0,0.0,0,0.0,7392.0,7308.0,132.0,,24.0,
smartota-alpine-rootfs,os_rootfs,blockwise_bsdiff,24,7464,24,0.003215434083601286,7392,0.9903536977491961,48,0.006430868167202572,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,7392.0,48.0,,24.0,
smartota-alpine-rootfs,os_rootfs,copy_delta,24,7464,24,0.003215434083601286,7308,0.9790996784565916,132,0.017684887459807074,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,7308.0,132.0,,24.0,
smartota-alpine-rootfs,os_rootfs,copy_only,24,7464,24,0.003215434083601286,0,0.0,7440,0.9967845659163987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,7440.0,,24.0,
smartota-alpine-rootfs,os_rootfs,deployment_aware_greedy,24,12186,24,0.0019694731659281144,6942,0.5696701132447071,498,0.04086656819300837,4722,0.38749384539635645,0,0.0,0,0.0,0,0.0,0,0.0,4722.0,6942.0,498.0,,24.0,
smartota-alpine-rootfs,os_rootfs,full_replacement,24,48,0,0.0,0,0.0,24,0.5,0,0.0,0,0.0,0,0.0,0,0.0,24,0.5,,,24.0,24.0,,
smartota-alpine-rootfs,os_rootfs,rsync_rolling_hash,24,7464,24,0.003215434083601286,0,0.0,7440,0.9967845659163987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,7440.0,,24.0,
smartota-alpine-rootfs,os_rootfs,whole_file_bsdiff,24,48,0,0.0,24,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.5,,24.0,,24.0,,
smartota-automotive,autoware_style_av_stack,backup_safe_copy_delta,36,384,12,0.03125,108,0.28125,96,0.25,168,0.4375,0,0.0,0,0.0,0,0.0,0,0.0,168.0,108.0,96.0,,,12.0
smartota-automotive,autoware_style_av_stack,blockwise_bsdiff,36,216,0,0.0,168,0.7777777777777778,48,0.2222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,168.0,48.0,,,
smartota-automotive,autoware_style_av_stack,copy_delta,36,216,0,0.0,120,0.5555555555555556,96,0.4444444444444444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,120.0,96.0,,,
smartota-automotive,autoware_style_av_stack,copy_only,36,216,0,0.0,0,0.0,216,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,216.0,,,
smartota-automotive,autoware_style_av_stack,deployment_aware_greedy,36,342,9,0.02631578947368421,111,0.32456140350877194,96,0.2807017543859649,126,0.3684210526315789,0,0.0,0,0.0,0,0.0,0,0.0,126.0,111.0,96.0,,,9.0
smartota-automotive,autoware_style_av_stack,full_replacement,36,60,0,0.0,0,0.0,36,0.6,0,0.0,0,0.0,0,0.0,0,0.0,24,0.4,,,36.0,24.0,,
smartota-automotive,autoware_style_av_stack,rsync_rolling_hash,36,216,0,0.0,0,0.0,216,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,216.0,,,
smartota-automotive,autoware_style_av_stack,whole_file_bsdiff,36,60,0,0.0,36,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.4,,36.0,,24.0,,
smartota-container-layers,container_av_perception,backup_safe_copy_delta,60,5232,2304,0.44036697247706424,228,0.04357798165137615,960,0.1834862385321101,1740,0.33256880733944955,0,0.0,0,0.0,0,0.0,0,0.0,1740.0,228.0,960.0,,1512.0,792.0
smartota-container-layers,container_av_perception,blockwise_bsdiff,60,3492,1512,0.4329896907216495,1740,0.49828178694158076,240,0.06872852233676977,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1740.0,240.0,,1512.0,
smartota-container-layers,container_av_perception,copy_delta,60,3492,1512,0.4329896907216495,228,0.06529209621993128,1752,0.5017182130584192,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,228.0,1752.0,,1512.0,
smartota-container-layers,container_av_perception,copy_only,60,3492,1512,0.4329896907216495,0,0.0,1980,0.5670103092783505,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,1980.0,,1512.0,
smartota-container-layers,container_av_perception,deployment_aware_greedy,60,4797,2106,0.43902439024390244,210,0.043777360850531584,1176,0.24515322076297685,1305,0.27204502814258913,0,0.0,0,0.0,0,0.0,0,0.0,1305.0,210.0,1176.0,,1512.0,594.0
smartota-container-layers,container_av_perception,full_replacement,60,108,0,0.0,0,0.0,60,0.5555555555555556,0,0.0,0,0.0,0,0.0,0,0.0,48,0.4444444444444444,,,60.0,48.0,,
smartota-container-layers,container_av_perception,rsync_rolling_hash,60,3492,1512,0.4329896907216495,0,0.0,1980,0.5670103092783505,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,1980.0,,1512.0,
smartota-container-layers,container_av_perception,whole_file_bsdiff,60,108,0,0.0,60,0.5555555555555556,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,0.4444444444444444,,60.0,,48.0,,
